Scenario,Protocol,Throughput (Mbps),Delay (ms),Jitter (ms),Loss (%)
congested_medium,TcpGemini,2041.90,0.0342,0.0030,0.00
cross_pod_20g,TcpNewReno,20407.93,1.8958,0.0009,0.00
mixed_small_flow,TcpGemini,2040.19,0.0343,0.0030,0.00
cross_pod_10g,TcpBbr,599.80,0.0611,0.0000,0.00
cross_dc_wan,TcpCubic,1017.48,7.2929,0.0179,0.00
congested_heavy,TcpGemini,1021.12,0.0684,0.0060,0.00
mixed_small_flow,TcpBbr,1031.87,0.0244,0.0007,0.00
intra_rack_10g,TcpBbr,2.28,0.0051,0.0000,0.00
symmetric_low,TcpCubic,1021.11,2.7765,0.0178,0.00
congested_medium,TcpCubic,2042.24,2.4912,0.0089,0.00
congested_medium,TcpBbr,1036.51,0.0357,0.0008,0.00
oversub_4to1_10g,TcpNewReno,2552.70,2.3249,0.0072,0.00
oversub_4to1_40g,TcpGemini,9930.95,0.0105,0.0006,0.00
intra_rack_10g,TcpNewReno,10212.94,2.3040,0.0018,0.00
intra_rack_10g,TcpCubic,10212.93,2.2936,0.0018,0.00
symmetric_low,TcpGemini,1017.70,0.0686,0.0060,0.00
cross_dc_wan,TcpNewReno,1015.81,6.7388,0.0143,0.00
oversub_4to1_40g,TcpCubic,10212.92,2.2975,0.0018,0.00
mixed_small_flow,TcpCubic,2042.24,2.4913,0.0089,0.00
symmetric_low,TcpNewReno,1021.12,2.8265,0.0179,0.00
intra_rack_10g,TcpGemini,10193.36,0.0102,0.0006,0.00
oversub_4to1_10g,TcpGemini,2551.58,0.0274,0.0024,0.00
cross_dc_wan,TcpGemini,14.55,5.0306,0.0060,0.00
oversub_4to1_10g,TcpBbr,1299.28,0.0182,0.0005,0.00
cross_dc_wan,TcpBbr,1019.05,9.0805,0.0012,0.00
cross_pod_10g,TcpCubic,10211.47,2.3982,0.0018,0.00
cross_pod_10g,TcpNewReno,10212.60,2.3085,0.0018,0.00
oversub_4to1_10g,TcpCubic,2552.70,2.4447,0.0071,0.00
congested_medium,TcpNewReno,2042.24,2.4049,0.0089,0.00
congested_heavy,TcpCubic,1021.12,2.7548,0.0178,0.00
cross_pod_20g,TcpGemini,1197.38,0.0607,0.0003,0.00
cross_pod_10g,TcpGemini,1180.80,0.0614,0.0006,0.00
mixed_small_flow,TcpNewReno,2042.24,2.4068,0.0089,0.00
cross_pod_20g,TcpBbr,603.81,0.0606,0.0000,0.00
oversub_4to1_40g,TcpNewReno,10212.92,2.3040,0.0018,0.00
cross_pod_20g,TcpCubic,20404.36,2.2074,0.0009,0.00
symmetric_low,TcpBbr,517.26,0.0705,0.0017,0.00
congested_heavy,TcpNewReno,1021.12,2.7986,0.0179,0.00
congested_heavy,TcpBbr,522.01,0.0687,0.0015,0.00
oversub_4to1_40g,TcpBbr,7107.26,0.0101,0.0002,0.00
